Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Nov;General;Media;Otros;Público;MTCGCD30 (MT / Bombeo de agua comunidades campesinas);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;0,47;20,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;13,29;532,92;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD11 (MT / Bombeo de Agua con Demanda);0;0,00;0,00;2;0,13;63,03;32;157,34;17.111,55;0;0,00;0,00;183;1.265,62;102.826,48;63;810,52;64.159,54;46;93,28;8.273,09;49;1.386,06;100.216,42;7;36,77;3.092,36;34;266,93;21.491,06;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD12 (MT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;1;38,92;2.391,41;3;109,66;9.695,12;0;0,00;0,00;8;51,26;4.985,92;0;0,00;0,00;50;433,18;37.115,97;1;29,03;1.942,84;7;1.837,46;125.959,06;0;0,00;0,00;3;28,62;2.398,10
Nov;General;Media;Comercial;Público;MTCGCD01 (MT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;7;16,48;1.977,53;7;71,92;7.934,56;11;80,14;9.444,84;4;3,93;646,27;23;249,40;28.255,56;21;186,36;23.272,93;0;0,00;0,00;2;9,02;1.003,11;0;0,00;0,00
Nov;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;3,67;353,10;0;0,00;0,00;8;171,15;17.226,56;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;204,11;18.578,81;208;319,65;29.870,63;169;1.006,91;95.160,41;177;3.228,56;248.415,12;321;1.924,96;180.098,33;135;613,89;58.895,26;512;1.656,86;154.022,32;37;457,16;41.769,74;173;1.406,72;131.856,12;119;616,35;57.100,57;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;156;1.763,93;145.462,01;16;672,27;54.084,44;127;6.876,75;474.842,96;9;149,45;12.944,77;6;123,49;9.456,74;119;2.452,44;195.543,71;1;140,79;11.428,84;2;227,25;17.789,93;39;1.994,57;152.069,03;31;1.304,88;105.227,66
Nov;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);0;0,00;0,00;5;0,54;131,68;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;14,28;1.485,64;5;1,72;299,36;0;0,00;0,00;7;3,01;721,68;1;4,52;441,73;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD16 (MT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;29,05;2.548,88;0;0,00;0,00;0;0,00;0,00;6;44,10;3.658,60;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD25 (MT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;60,48;3.995,98;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD31 (MT / Estacionales y Ocasionales);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Industrial;Público;MTCGCD03 (MT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;1;0,02;137,44;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;257,46;26.811,68;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Industrial;Público;MTCGCD32 (MT / Industrial con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;2;86,29;8.027,87;0;0,00;0,00;0;0,00;0,00;1;0,00;5,99;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;84,00;6.882,85
Nov;General;No aplica;Industrial;Público;REFACTIN (Industrial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD36 (MT / Autoconsumo con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD37 (MT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD19 (MT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;No aplica;Comercial;Público;REFACTCO (Comercial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;-0,81;-246,44;0;0,00;0,00;0;0,00;-30,78;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD35 (MT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;34,35;2.717,77;4;3,75;331,57;0;0,00;0,00;2;3,64;395,68;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD34 (MT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Media;Otros;Público;MTCGCD39 (MT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;41;1.182,07;55.886,60;9;251,42;12.592,35;23;894,96;43.641,50;18;664,28;37.967,98;6;35,62;1.902,68;63;4.161,34;202.608,65;0;0,00;0,00;1;199,95;9.440,11;28;394,17;20.631,00;4;407,52;19.718,23
Nov;General;Alta;Otros;Público;ATCGCD14 (AT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;447,09;29.525,97;0;0,00;0,00;1;749,78;49.594,02;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Nov;General;Alta;Otros;Público;ATCGCD15 (AT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;338,60;24.332,96;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
